,SA3_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot
0,20101,2564,13844,14431,4434,2292,1493,39056,49961,53854,103815,6736,13227,6819,7686,13301,12700,13287,12360,9822,5476,2398,26138,17026,1821,803,3452
1,20102,313,2879,3910,1728,1250,516,10591,13951,14358,28307,1379,3504,1505,1106,2203,3394,4478,4777,3772,1557,648,6794,4732,585,308,687
2,20103,489,3121,3591,1405,985,501,10096,12887,12481,25365,1197,2925,1330,1079,2016,2657,3532,4195,3882,1854,700,5015,3527,422,214,765
3,20201,2168,12370,13341,4250,2027,1406,35561,45463,48916,94378,6170,11968,6023,6970,12416,11241,11552,11405,8880,5240,2515,23611,15457,1814,710,2947
4,20202,671,5240,6699,2603,1643,719,17580,23406,23889,47291,2485,5737,2668,1878,3871,5768,7219,7525,6155,2852,1128,10969,8043,864,367,1070
5,20203,162,1112,1522,743,609,221,4367,5828,5590,11421,571,1381,686,384,818,1194,1701,2013,1568,786,311,2708,1570,205,133,241
6,20301,84,1102,2675,1264,951,223,6296,9609,9411,19018,1265,2992,1242,863,1864,2696,2833,2563,1761,687,258,5287,3265,388,199,369
7,20302,4964,25145,26053,7670,3851,2612,70291,91328,96854,188180,11641,22065,12055,13688,25386,23722,24312,22243,17524,10355,5191,48362,30995,3312,1526,5996
8,20303,704,8203,11522,3256,1556,802,26043,34873,36852,71729,4340,9498,3814,2906,6841,9119,9326,10308,9245,4456,1869,17398,12467,1306,521,1555
9,20401,820,6225,7221,2894,1908,1043,20110,26952,26890,53840,2816,6348,3227,2554,5066,5864,7372,8373,7314,3521,1384,13463,8102,1001,564,1229
10,20402,964,5935,6667,2331,1410,810,18116,22303,23797,46100,2386,5555,2660,2107,4177,5076,6300,6968,5953,3290,1631,11500,7241,919,411,1021
11,20403,1168,8205,10130,3465,1904,1004,25872,34667,35580,70249,4257,9032,4403,3840,7875,8340,9695,9941,7542,3754,1576,19163,11121,1411,642,1762
12,20501,641,5224,6814,2620,1685,659,17641,23621,25004,48626,2943,6366,3018,2537,5283,5443,6509,6744,5739,2933,1111,12390,7577,908,437,1245
13,20502,824,5926,6583,2205,1130,948,17614,22174,22974,45146,2230,4923,2302,1823,3826,4288,5789,7234,7532,3811,1395,8933,6778,936,404,1161
14,20503,1113,8441,8900,2969,1573,1037,24037,30038,31626,61668,3256,7236,3199,2278,5426,6360,8215,9763,9358,4624,1954,12991,9962,1288,559,1486
15,20504,2056,9853,9832,3312,1791,1299,28158,35700,37398,73099,4357,8880,4397,4768,9040,8315,9688,10072,7593,4220,1759,16809,10708,1304,592,3152
16,20505,802,5133,5834,2240,1375,657,16030,21631,21238,42871,2443,5182,2510,2135,4853,4934,5720,6470,5065,2536,1029,10404,6245,854,399,1195
17,20601,5615,15804,8723,2040,855,1022,34058,41727,44532,86257,4663,7265,3336,7836,21113,14286,10233,7390,4798,3654,1680,29436,15675,1392,750,3160
18,20602,2783,9347,5907,1182,466,598,20277,24589,27481,52065,2984,5455,2165,3509,10493,8883,7320,4799,2966,2403,1089,17442,9601,841,419,1516
19,20603,3358,10761,7697,1983,887,900,25578,32066,34534,66595,3798,7136,3604,5177,12574,9750,8997,7221,4278,2597,1480,21762,11133,1060,558,2203
20,20604,26465,21110,6100,902,314,2125,57012,66144,69825,135969,4386,4341,10594,29759,44424,16038,9788,7801,5288,2299,1255,41859,20156,1978,1165,8006
21,20605,7942,23002,10629,1522,572,1446,45114,49309,51563,100872,4893,6893,2896,6555,26249,18115,13486,10205,6946,3197,1433,40832,14466,1672,742,3075
22,20606,5769,13442,6382,1242,566,903,28314,29556,32911,62467,2274,3504,2233,5863,18297,8806,6556,5653,4872,3049,1352,25393,9227,925,468,1845
23,20607,7549,17896,7930,1460,407,1300,36553,42415,45041,87453,4030,5770,2749,7114,26691,14137,9960,7803,5358,2759,1083,35628,13432,1477,690,2838
24,20701,4687,21980,22792,6226,2751,1416,59849,80145,87085,167231,7742,21064,11910,13346,22544,20736,24102,18983,13951,8031,4829,49766,28984,2331,1180,4837
25,20702,1399,9995,13324,4116,2105,891,31827,43519,46853,90369,4406,9642,5499,5548,10813,11096,12391,10890,9717,7372,3004,24003,14245,1028,752,2849
26,20703,3464,13896,13418,3380,1511,1002,36658,49118,52920,102040,5264,11177,6909,9671,14963,12877,13303,10767,7817,6015,3273,26837,17486,1317,681,3817
27,20801,1814,11968,14822,3843,1698,893,35037,46229,50862,97087,4994,13429,6178,4919,7980,12418,15855,12636,9718,5344,3624,27559,16443,1332,652,2215
28,20802,5085,22112,19909,4486,1961,1512,55064,71759,76673,148437,9074,18005,8183,10485,23363,21297,19961,15819,11009,6832,4405,45203,25056,2057,1117,4558
29,20803,2839,16236,17557,4290,1971,1334,44224,56283,60527,116817,7198,14085,6274,6263,14515,18027,17215,13503,10022,6327,3393,36554,18879,1879,921,3079
30,20804,1479,5866,5614,1388,680,384,15406,19816,21548,41367,2079,5004,2451,3695,6376,5354,5566,4338,3305,2085,1121,12758,6947,507,311,1269
31,20901,2702,15561,17650,4879,2415,1218,44431,59222,62644,121865,7747,14267,6834,7410,16248,17375,16224,14542,11511,6470,3253,35554,20514,1954,888,3429
32,20902,4257,14422,10290,2777,1280,1424,34457,46313,48341,94653,5854,9147,4771,7837,17970,14050,11795,8793,6444,5343,2649,24986,14830,1268,927,3913
33,20903,381,4222,9268,3912,2854,418,21059,32237,32886,65123,3485,9350,4873,4133,6019,8606,10755,9465,5692,2030,720,20085,12706,1136,500,1554
34,20904,2985,20290,28673,9462,5194,2131,68732,105705,108009,213708,17484,28518,12705,14478,36186,31737,26716,21235,14594,7626,2440,59898,30962,3169,2237,7320
35,21001,1150,6542,8583,2598,1358,700,20932,28526,30038,58565,3248,6818,3273,3294,6922,7986,8086,6625,6258,4338,1713,16910,8838,905,536,1470
36,21002,159,2041,4268,1813,1270,268,9827,14703,14868,29574,1913,4403,1952,1412,2623,4039,4657,4009,3040,1116,411,8551,4920,582,246,651
37,21003,2635,10939,8753,2355,1146,1020,26861,37406,38103,75506,5586,8472,3745,4981,14141,11273,8848,6388,4692,4766,2626,20337,10476,1034,806,2735
38,21004,497,3939,5531,2041,1269,359,13641,19212,20156,39369,2640,5115,2673,2680,5137,5294,5699,4911,3109,1491,625,12167,6396,648,327,1266
39,21005,2350,14100,18622,6680,3820,1784,47358,80228,80126,160353,13074,23511,11482,12056,26377,22311,20972,15172,9628,4493,1280,38518,20512,1805,1894,6539
40,21101,2004,15395,22469,7977,4430,1391,53669,75341,78814,154154,9017,18054,9911,10195,20341,20762,22077,19902,13668,7118,3105,47895,25852,2397,1228,4581
41,21102,184,1645,3474,1576,1192,184,8262,12834,13153,25986,1126,3588,2068,1684,2053,2945,4342,3572,2588,1366,668,7369,4927,362,207,598
42,21103,1895,13350,16184,4767,2566,1058,39820,53179,56755,109933,7303,13209,6649,6600,15221,15525,15100,12669,9618,5392,2639,33525,18576,1770,840,3014
43,21104,1216,7747,9095,2283,1034,527,21908,29289,31482,60769,3612,7338,3484,3485,7993,8890,8056,6637,5843,3752,1691,17327,10144,853,431,1815
44,21105,1526,13764,21141,8162,5554,1492,51646,73430,75331,148760,9107,19204,9693,8881,17828,19655,21559,19614,14366,6308,2531,43892,26012,2788,1343,3554
45,21201,869,8544,12974,4686,3060,926,31055,46442,47843,94288,7830,13928,6244,5945,13717,13234,12505,9651,6925,3124,1177,28077,14543,1501,912,2598
46,21202,1604,11351,17554,6292,3762,1282,41836,65181,65939,131119,8788,17950,9510,9246,17243,18219,18600,15095,9398,5035,2043,37637,19748,1737,1261,4705
47,21203,1250,12950,22786,7617,4081,1603,50285,83842,84335,168177,14987,26124,11440,11424,27187,26650,21144,15001,8891,3913,1407,50016,23529,2289,1698,5957
48,21204,4948,21153,20591,7393,3655,2637,60375,94898,91729,186623,12404,20562,10918,14638,32445,25174,22244,19950,15439,9095,3755,46979,25148,1850,2201,8060
49,21205,4358,20140,23401,6911,3073,1576,59458,86102,88955,175056,8814,18776,11985,17233,25796,22362,22081,17651,14702,10743,4926,46186,26859,2123,1416,6675
50,21301,4205,18771,20895,7994,4099,2607,58564,93039,92780,185816,12519,21903,11719,14661,30495,25245,23719,21109,14427,7321,2699,46036,25552,2091,2417,9045
51,21302,2285,11686,11475,2995,1449,973,30862,41066,42936,84006,5708,9836,4411,4715,11899,12809,12130,9837,6595,4162,1910,25763,12131,1347,656,2681
52,21303,4189,13277,9141,1990,788,1098,30481,41405,40883,82288,5675,7518,3635,7258,19006,14058,9900,7247,4024,2589,1379,26372,13283,1288,699,3760
53,21304,1601,13224,20744,6894,3820,1643,47926,75666,77773,153438,12717,24468,10122,9628,23056,25353,19354,14525,9426,3581,1209,43633,20774,2230,1454,5487
54,21305,2555,22329,29300,8463,3971,1976,68588,111366,110525,221895,21737,32876,12978,13836,42089,37246,25929,18402,10769,4546,1490,65784,29524,2929,2258,9076
55,21401,2941,17008,19230,5661,2974,1869,49687,65418,68727,134143,9016,16012,8009,8512,18484,18569,18833,16105,11710,6187,2713,39165,20908,2187,1150,4365
56,21402,2338,18914,23267,7205,3775,2299,57791,74875,80125,154999,8007,18830,8945,7409,13493,17916,21250,21007,20899,12178,5059,37951,25796,2496,1261,3487
57,21501,1387,7448,8075,3189,2060,1053,23215,29485,29334,58820,3067,6761,3342,2831,6005,6148,8052,8883,7271,4346,2119,14852,8868,1150,544,1324
58,21502,1298,6496,7076,2480,1469,990,19817,26481,27398,53878,3363,6867,3518,3153,6535,6168,7079,7111,5493,3169,1419,13573,7554,848,524,1784
59,21503,784,4255,4895,1876,1275,777,13869,18753,18583,37336,2095,4528,2241,1842,3837,3851,4986,5412,4425,2844,1276,9247,5147,655,409,787
60,21601,668,4119,5254,1991,1214,655,13899,18368,18841,37208,2088,4584,2341,1759,3541,3955,5073,5380,4569,2751,1164,9362,5548,745,379,822
61,21602,529,3469,3798,1517,980,604,10899,14514,14598,29112,1585,3548,1711,1378,2699,2919,3764,4227,3960,2377,935,6997,3900,598,309,629
62,21603,1274,7276,8306,2987,1689,992,22527,31618,32036,63649,4199,8460,4319,3563,7825,7756,8526,7886,6151,3484,1486,16208,8962,1101,607,1852
63,21701,694,4480,4830,2039,1307,639,13991,17543,18013,35558,1832,4106,2196,1648,3140,3798,5162,5604,4491,2456,1138,8803,5678,743,376,862
64,21703,675,4421,5014,1975,1298,650,14030,18574,18460,37040,2039,4581,2221,1835,3562,3927,5131,5545,4555,2598,1053,9548,6017,766,391,691
65,21704,923,6006,7152,2275,1390,763,18519,24386,25720,50099,2918,6556,3221,2925,5596,5897,6843,6732,5218,2858,1340,13190,8559,1062,482,1159
66,29797,0,0,0,0,0,0,0,28,4,29,0,0,0,0,4,3,11,5,0,0,0,16,0,0,0,0
67,29999,0,0,0,0,0,0,0,4331,3238,7565,379,367,357,898,1848,1295,975,816,482,121,38,1194,641,111,84,613
